,id,actual_label,predicted_label,result_labels_0,result_scores_0,result_labels_1,result_scores_1,result_labels_2,result_scores_2
0,28f31051-acbe-4f07-ab99-e1e35d1d8468,MSSP,Credit,Credit,0.23185008764266968,MSSP,0.18173256516456604,Debt,0.1686941534280777
1,3d40a6e5-1a05-46b0-a4b1-d81328a9348e,Cannabis,Cannabis,Cannabis,0.5582562685012817,MSSP,0.16259047389030457,Credit,0.13105344772338867
2,32a01ee1-4ab5-4605-9618-16ab891300ac,Other,MSSP,MSSP,0.3506539463996887,Credit,0.2507644295692444,Utilities,0.08575071394443512
3,bd6209c8-6bbf-480c-994d-9adf4c579e89,Other,MSSP,MSSP,0.2543153166770935,Credit,0.22418832778930664,Debt,0.16538390517234802
4,5074be26-0b84-411e-947e-bef42adf6c23,Utilities,Credit,Credit,0.5110554099082947,MSSP,0.15820708870887756,Debt,0.14308412373065948
5,ada1c309-a46c-4eb0-8b66-f5b9ee9875ad,MSSP,MSSP,MSSP,0.1755068153142929,Credit,0.17014408111572266,Cannabis,0.1395503580570221
6,9a57263f-8142-4011-92bb-590e1e5e4ffd,Other,Unknown_lang,NaN,0.0,NaN,0.0,NaN,0.0
7,33fc3833-5910-429d-9317-eec07348b512,Sex,Sex,Sex,0.7671411633491516,MSSP,0.057450804859399796,Credit,0.05111144483089447
8,528ccc6b-9d4b-49c6-af9a-517772e5b0ab,Other,Credit,Credit,0.2755659222602844,MSSP,0.18661059439182281,Debt,0.11314572393894196
9,a81f967e-dbf9-4ec3-9bfb-b4a6bc61a155,Other,Debt,Debt,0.21597829461097717,Credit,0.1958998739719391,MSSP,0.17711195349693298
10,f01c1ea7-8a85-4afc-9f03-b4dcb3266c7a,Cryptocurrency,Cryptocurrency,Cryptocurrency,0.7340367436408997,Credit,0.06558329612016678,Education,0.053486503660678864
11,f10c85f2-15e2-46e4-95d1-3d77e3b74d06,Utilities,Utilities,Utilities,0.8674901723861694,MSSP,0.07986434549093246,Credit,0.027371477335691452
12,52baf7e0-65e4-4c60-9afa-04b8a1271f90,Credit,MSSP,MSSP,0.522977888584137,Debt,0.11736559867858887,Credit,0.09378605335950851
